"SamAccountName","Name","DisplayName","GivenName","Surname","Title","Department","Company","Description","Enabled","PasswordLastSet","LastLogonDate","PasswordNeverExpires","AccountExpirationDate","whenCreated","DistinguishedName"
"acct.payables","Hannah Cole","Hannah Cole","Hannah","Cole","Accounts Payable Specialist","Finance","AzureUser.org","Accounts payable staff","True","3/24/2026 3:13:47 PM","5/4/2026 2:12:11 PM","False",,"3/4/2026 12:38:18 PM","CN=Hannah Cole,OU=Finance,OU=Users,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"Administrator","Administrator",,,,,,,"Built-in account for administering the computer/domain","True","3/2/2026 6:45:28 PM","4/30/2026 9:41:48 PM","True",,"3/3/2026 11:34:15 PM","CN=Administrator,CN=Users,DC=corp,DC=azureuser,DC=org"
"azuremaster","Azure Master","Azure Master","Michael","Olawale","Primary Infrastructure Administrator","IT Infrastructure","AzureUser.org","Full control infrastructure admin account","True","3/4/2026 12:38:19 PM","4/30/2026 1:56:44 PM","False",,"3/4/2026 12:38:19 PM","CN=Azure Master,OU=Infrastructure,OU=IT,OU=Users,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"ceo","Daniel Lawson","Daniel Lawson","Daniel","Lawson","Chief Executive Officer","Executive Leadership","AzureUser.org","Executive leadership account","True",,,"False",,"3/4/2026 12:38:16 PM","CN=Daniel Lawson,OU=Executives,OU=Users,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"desktop.tech","Kevin Moore","Kevin Moore","Kevin","Moore","Desktop Support Technician","IT Support","AzureUser.org","Desktop support technician","True",,,"False",,"3/4/2026 12:38:17 PM","CN=Kevin Moore,OU=Support,OU=IT,OU=Users,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"finance.manager","Rebecca Stone","Rebecca Stone","Rebecca","Stone","Finance Manager","Finance","AzureUser.org","Finance department manager","True","3/24/2026 12:14:28 PM","3/20/2026 2:49:51 PM","False",,"3/4/2026 12:38:17 PM","CN=Rebecca Stone,OU=Finance,OU=Users,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"Guest","Guest",,,,,,,"Built-in account for guest access to the computer/domain","False",,,"True",,"3/3/2026 11:34:15 PM","CN=Guest,CN=Users,DC=corp,DC=azureuser,DC=org"
"helpdesk01","Daniel Carter","Daniel Carter","Daniel","Carter","Help Desk Technician","IT Support","AzureUser.org","End user support technician","True",,"4/14/2026 11:42:07 PM","False",,"3/4/2026 12:38:17 PM","CN=Daniel Carter,OU=Support,OU=IT,OU=Users,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"helpdesk02","Brian Lewis","Brian Lewis","Brian","Lewis","Help Desk Technician","IT Support","AzureUser.org","End user support technician","True","4/30/2026 11:26:36 PM","4/30/2026 11:25:38 PM","False",,"3/4/2026 12:38:17 PM","CN=Brian Lewis,OU=Support,OU=IT,OU=Users,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"hr.assistant","Chloe Adams","Chloe Adams","Chloe","Adams","HR Assistant","Human Resources","AzureUser.org","Human resources assistant","True",,,"False",,"3/4/2026 12:38:17 PM","CN=Chloe Adams,OU=HR,OU=Users,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"hr.manager","Olivia Grant","Olivia Grant","Olivia","Grant","HR Manager","Human Resources","AzureUser.org","Human resources manager","True",,,"False",,"3/4/2026 12:38:17 PM","CN=Olivia Grant,OU=HR,OU=Users,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"krbtgt","krbtgt",,,,,,,"Key Distribution Center Service Account","False","3/3/2026 11:37:29 PM",,"False",,"3/3/2026 11:37:29 PM","CN=krbtgt,CN=Users,DC=corp,DC=azureuser,DC=org"
"network.admin","Sarah Okafor","Sarah Okafor","Sarah","Okafor","Network Administrator","IT Infrastructure","AzureUser.org","Network operations administrator","True","4/6/2026 10:19:56 PM","4/6/2026 10:20:34 PM","False",,"3/4/2026 12:38:19 PM","CN=Sarah Okafor,OU=Infrastructure,OU=IT,OU=Users,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"ops.coord","Tyler Scott","Tyler Scott","Tyler","Scott","Operations Coordinator","Operations","AzureUser.org","Operations coordinator","True",,,"False",,"3/4/2026 12:38:18 PM","CN=Tyler Scott,OU=Operations,OU=Users,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"ops.manager","Marcus Hill","Marcus Hill","Marcus","Hill","Operations Manager","Operations","AzureUser.org","Operations department manager","True",,,"False",,"3/4/2026 12:38:18 PM","CN=Marcus Hill,OU=Operations,OU=Users,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"sales.manager","Lauren Price","Lauren Price","Lauren","Price","Sales Manager","Sales","AzureUser.org","Sales department manager","True",,,"False",,"3/4/2026 12:38:18 PM","CN=Lauren Price,OU=Sales,OU=Users,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"sales.rep01","Megan Turner","Megan Turner","Megan","Turner","Sales Representative","Sales","AzureUser.org","Sales representative","True",,,"False",,"3/4/2026 12:38:19 PM","CN=Megan Turner,OU=Sales,OU=Users,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"secanalyst01","Aisha Bello","Aisha Bello","Aisha","Bello","Security Analyst","IT Security","AzureUser.org","Security monitoring analyst","True","3/31/2026 7:19:12 PM","5/1/2026 12:48:51 PM","False",,"3/4/2026 12:38:16 PM","CN=Aisha Bello,OU=Security,OU=IT,OU=Users,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"siemadmin01","Ethan Clarke","Ethan Clarke","Ethan","Clarke","SIEM Administrator","IT Security","AzureUser.org","Zabbix and Wazuh administrator","True","3/4/2026 12:38:20 PM","5/4/2026 3:11:50 AM","False",,"3/4/2026 12:38:20 PM","CN=Ethan Clarke,OU=Security,OU=IT,OU=Users,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"socanalyst01","Naomi Reed","Naomi Reed","Naomi","Reed","SOC Analyst","IT Security","AzureUser.org","Security operations analyst","True",,,"False",,"3/4/2026 12:38:17 PM","CN=Naomi Reed,OU=Security,OU=IT,OU=Users,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"svc.backup","Backup Service Account","Backup Service Account","Backup","Service","Service Account","Infrastructure Services","AzureUser.org","Service account for backup jobs","True","4/8/2026 12:02:01 PM",,"True",,"3/4/2026 12:38:20 PM","CN=Backup Service Account,OU=ServiceAccounts,OU=Users,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"svc.deploy","Deployment Service Account","Deployment Service Account","Deploy","Service","Service Account","Infrastructure Services","AzureUser.org","Service account for deployment tools","True","4/8/2026 12:01:49 PM","3/27/2026 4:00:20 PM","True",,"3/4/2026 12:38:20 PM","CN=Deployment Service Account,OU=ServiceAccounts,OU=Users,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"svc.join","Domain Join Service Account","Domain Join Service Account","Domain","Join","Service Account","Infrastructure Services","AzureUser.org","Service account for delegated domain join","True","3/4/2026 12:38:20 PM","5/5/2026 10:31:05 PM","True",,"3/4/2026 12:38:20 PM","CN=Domain Join Service Account,OU=ServiceAccounts,OU=Users,OU=Corporate,DC=corp,DC=azureuser,DC=org"
"svc.wazuh","Wazuh Service Account","Wazuh Service Account","Wazuh","Service","Service Account","Security Services","AzureUser.org","Service account for Wazuh","True","4/8/2026 12:01:31 PM","4/23/2026 1:25:45 PM","True",,"3/4/2026 12:38:20 PM","CN=Wazuh Service Account,OU=ServiceAccounts,OU=Users,OU=Corporate,DC=corp,DC=azureuser,DC=org"
